table_name,column_name,data_type
humanresources_department,departmentid,LONG
humanresources_department,name,STRING
humanresources_department,groupname,STRING
humanresources_department,modifieddate,STRING
humanresources_employee,businessentityid,LONG
humanresources_employee,nationalidnumber,LONG
humanresources_employee,loginid,STRING
humanresources_employee,jobtitle,STRING
humanresources_employee,birthdate,STRING
humanresources_employee,maritalstatus,STRING
humanresources_employee,gender,STRING
humanresources_employee,hiredate,STRING
humanresources_employee,salariedflag,BOOLEAN
humanresources_employee,vacationhours,LONG
humanresources_employee,sickleavehours,LONG
humanresources_employee,currentflag,BOOLEAN
humanresources_employee,rowguid,STRING
humanresources_employee,modifieddate,STRING
humanresources_employee,organizationnode,STRING
humanresources_employeedepartmenthistory,businessentityid,LONG
humanresources_employeedepartmenthistory,departmentid,LONG
humanresources_employeedepartmenthistory,shiftid,LONG
humanresources_employeedepartmenthistory,startdate,STRING
humanresources_employeedepartmenthistory,enddate,STRING
humanresources_employeedepartmenthistory,modifieddate,STRING
humanresources_employeepayhistory,businessentityid,LONG
humanresources_employeepayhistory,ratechangedate,STRING
humanresources_employeepayhistory,rate,DOUBLE
humanresources_employeepayhistory,payfrequency,LONG
humanresources_employeepayhistory,modifieddate,STRING
humanresources_jobcandidate,jobcandidateid,LONG
humanresources_jobcandidate,businessentityid,DOUBLE
humanresources_jobcandidate,resume,STRING
humanresources_jobcandidate,modifieddate,STRING
humanresources_shift,shiftid,LONG
humanresources_shift,name,STRING
humanresources_shift,starttime,STRING
humanresources_shift,endtime,STRING
humanresources_shift,modifieddate,STRING
person_address,addressid,LONG
person_address,addressline1,STRING
person_address,addressline2,STRING
person_address,city,STRING
person_address,stateprovinceid,LONG
person_address,postalcode,STRING
person_address,spatiallocation,STRING
person_address,rowguid,STRING
person_address,modifieddate,STRING
person_addresstype,addresstypeid,LONG
person_addresstype,name,STRING
person_addresstype,rowguid,STRING
person_addresstype,modifieddate,STRING
person_businessentity,businessentityid,LONG
person_businessentity,rowguid,STRING
person_businessentity,modifieddate,STRING
person_businessentityaddress,businessentityid,LONG
person_businessentityaddress,addressid,LONG
person_businessentityaddress,addresstypeid,LONG
person_businessentityaddress,rowguid,STRING
person_businessentityaddress,modifieddate,STRING
person_businessentitycontact,businessentityid,LONG
person_businessentitycontact,personid,LONG
person_businessentitycontact,contacttypeid,LONG
person_businessentitycontact,rowguid,STRING
person_businessentitycontact,modifieddate,STRING
person_contacttype,contacttypeid,LONG
person_contacttype,name,STRING
person_contacttype,modifieddate,STRING
person_countryregion,countryregioncode,STRING
person_countryregion,name,STRING
person_countryregion,modifieddate,STRING
person_emailaddress,businessentityid,LONG
person_emailaddress,emailaddressid,LONG
person_emailaddress,emailaddress,STRING
person_emailaddress,rowguid,STRING
person_emailaddress,modifieddate,STRING
person_password,businessentityid,LONG
person_password,passwordhash,STRING
person_password,passwordsalt,STRING
person_password,rowguid,STRING
person_password,modifieddate,STRING
person_person,businessentityid,LONG
person_person,persontype,STRING
person_person,namestyle,BOOLEAN
person_person,title,STRING
person_person,firstname,STRING
person_person,middlename,STRING
person_person,lastname,STRING
person_person,suffix,STRING
person_person,emailpromotion,LONG
person_person,additionalcontactinfo,STRING
person_person,demographics,STRING
person_person,rowguid,STRING
person_person,modifieddate,STRING
person_personphone,businessentityid,LONG
person_personphone,phonenumber,STRING
person_personphone,phonenumbertypeid,LONG
person_personphone,modifieddate,STRING
person_phonenumbertype,phonenumbertypeid,LONG
person_phonenumbertype,name,STRING
person_phonenumbertype,modifieddate,STRING
person_stateprovince,stateprovinceid,LONG
person_stateprovince,stateprovincecode,STRING
person_stateprovince,countryregioncode,STRING
person_stateprovince,isonlystateprovinceflag,BOOLEAN
